Latitude,Longitude,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
51.49224823,-0.147114753,WMD,PM2.5,24/10/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,25/10/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,26/10/2025 00:00,2,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,27/10/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,28/10/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,29/10/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,30/10/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,31/10/2025 00:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,1/11/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,2/11/2025 0:00,3,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,3/11/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,4/11/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,5/11/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,6/11/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,7/11/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,8/11/2025 0:00,11,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,9/11/2025 0:00,8,ug/m3,P
